source,category,count
AIC,"Pasta, rice and polenta",457
AIC,"Meat, poultry and game",426
AIC,Desserts and liqueurs,421
AIC,Soups and broths,319
AIC,Fish and seafood,295
AIC,"Vegetables, eggs and legumes",269
AIC,Appetizers,160
AIC,Sauces,134
AIC,Pizzas and savory pies,118
Artusi,Desserts and liqueurs,203
Artusi,"Meat, poultry and game",146
Artusi,"Vegetables, eggs and legumes",93
Artusi,Fish and seafood,66
Artusi,Fried dishes,64
Artusi,Soups and broths,54
Artusi,"Pasta, rice and polenta",53
Artusi,Appetizers,27
Artusi,Side dishes,26
Artusi,Sauces,20
Artusi,Miscellaneous,15
Artusi,Preserves,14
Artusi,"Doughs, batters and fillings",9
