action,contemporary,Artusi,total
serve,1233.0,369.0,1602.0
prepare,1134.0,467.0,1601.0
sauté,1306.0,267.0,1573.0
combine,1159.0,367.0,1526.0
boil,975.0,250.0,1225.0
cook,873.0,283.0,1156.0
simmer,839.0,140.0,979.0
mix,625.0,176.0,801.0
bake,629.0,142.0,771.0
chop,328.0,167.0,495.0
fry,363.0,121.0,484.0
add,361.0,94.0,455.0
assemble,316.0,85.0,401.0
rest,326.0,34.0,360.0
finish,260.0,82.0,342.0
season,206.0,108.0,314.0
shape,252.0,44.0,296.0
cut,181.0,102.0,283.0
knead,218.0,37.0,255.0
brown,183.0,50.0,233.0
soak,197.0,35.0,232.0
drain,206.0,23.0,229.0
slice,151.0,55.0,206.0
cool,131.0,73.0,204.0
clean,161.0,27.0,188.0
roll,144.0,37.0,181.0
deglaze,165.0,12.0,177.0
stuff,135.0,25.0,160.0
coat,89.0,64.0,153.0
layer,119.0,31.0,150.0
make,76.0,59.0,135.0
proof,111.0,21.0,132.0
garnish,98.0,28.0,126.0
form,95.0,30.0,125.0
marinate,99.0,21.0,120.0
arrange,90.0,23.0,113.0
fold,56.0,54.0,110.0
toast,87.0,23.0,110.0
thicken,70.0,37.0,107.0
whisk,65.0,37.0,102.0
strain,34.0,67.0,101.0
heat,60.0,40.0,100.0
whip,54.0,40.0,94.0
fill,65.0,29.0,94.0
beat,60.0,29.0,89.0
dress,75.0,14.0,89.0
roast,60.0,27.0,87.0
melt,62.0,23.0,85.0
dissolve,59.0,24.0,83.0
dry,49.0,31.0,80.0
pour,39.0,34.0,73.0
chill,47.0,25.0,72.0
blanch,50.0,15.0,65.0
reduce,48.0,16.0,64.0
glaze,40.0,22.0,62.0
sieve,21.0,39.0,60.0
top,49.0,10.0,59.0
pound,25.0,32.0,57.0
mince,38.0,19.0,57.0
grill,33.0,24.0,57.0
grind,23.0,32.0,55.0
remove,39.0,14.0,53.0
separate,24.0,29.0,53.0
stew,36.0,17.0,53.0
spread,29.0,24.0,53.0
process,33.0,19.0,52.0
sear,39.0,8.0,47.0
braise,29.0,18.0,47.0
wrap,29.0,16.0,45.0
wash,27.0,9.0,36.0
line,30.0,5.0,35.0
blend,35.0,0.0,35.0
toss,34.0,0.0,34.0
steam,30.0,3.0,33.0
dredge,21.0,9.0,30.0
plate,27.0,3.0,30.0
store,16.0,13.0,29.0
infuse,16.0,13.0,29.0
grate,21.0,6.0,27.0
peel,11.0,16.0,27.0
decorate,20.0,7.0,27.0
cover,16.0,10.0,26.0
filter,17.0,9.0,26.0
adjust,13.0,13.0,26.0
mash,24.0,2.0,26.0
bread,15.0,10.0,25.0
seal,20.0,5.0,25.0
debone,17.0,6.0,23.0
brush,20.0,3.0,23.0
dice,18.0,5.0,23.0
grease,6.0,16.0,22.0
rise,16.0,6.0,22.0
tie,8.0,13.0,21.0
dust,7.0,14.0,21.0
sprinkle,17.0,4.0,21.0
place,17.0,3.0,20.0
incorporate,13.0,7.0,20.0
cream,13.0,7.0,20.0
unmold,4.0,15.0,19.0
transfer,15.0,4.0,19.0
press,16.0,3.0,19.0
lard,4.0,15.0,19.0
divide,15.0,3.0,18.0
crush,8.0,10.0,18.0
flavor,5.0,12.0,17.0
skewer,12.0,5.0,17.0
caramelize,9.0,8.0,17.0
rinse,15.0,2.0,17.0
churn,1.0,15.0,16.0
emulsify,12.0,3.0,15.0
puree,11.0,3.0,14.0
freeze,9.0,4.0,13.0
bottle,6.0,6.0,12.0
extract,6.0,6.0,12.0
portion,11.0,1.0,12.0
score,8.0,4.0,12.0
shred,11.0,1.0,12.0
fillet,10.0,2.0,12.0
shell,10.0,2.0,12.0
reheat,5.0,7.0,12.0
poach,7.0,4.0,11.0
preheat,11.0,0.0,11.0
pipe,10.0,1.0,11.0
temper,4.0,6.0,10.0
parboil,6.0,4.0,10.0
baste,5.0,5.0,10.0
age,6.0,4.0,10.0
sift,6.0,4.0,10.0
squeeze,0.0,9.0,9.0
check,7.0,2.0,9.0
jar,7.0,2.0,9.0
activate,8.0,1.0,9.0
render,7.0,1.0,8.0
preserve,4.0,4.0,8.0
macerate,6.0,2.0,8.0
flip,7.0,1.0,8.0
pit,1.0,7.0,8.0
drizzle,7.0,1.0,8.0
sew,6.0,2.0,8.0
dip,5.0,2.0,7.0
pierce,5.0,2.0,7.0
gratinate,7.0,0.0,7.0
create,4.0,3.0,7.0
purge,7.0,0.0,7.0
moisten,5.0,2.0,7.0
stir,4.0,3.0,7.0
purée,4.0,3.0,7.0
ferment,2.0,5.0,7.0
roll out,7.0,0.0,7.0
truss,3.0,3.0,6.0
dilute,3.0,3.0,6.0
mill,6.0,0.0,6.0
trim,4.0,2.0,6.0
scramble,4.0,2.0,6.0
rub,2.0,3.0,5.0
taste,0.0,5.0,5.0
salt,1.0,4.0,5.0
tenderize,1.0,4.0,5.0
skim,3.0,2.0,5.0
repeat,3.0,2.0,5.0
mold,1.0,4.0,5.0
carve,4.0,1.0,5.0
broil,1.0,4.0,5.0
follow,0.0,5.0,5.0
rehydrate,1.0,3.0,4.0
hollow,3.0,1.0,4.0
extrude,1.0,3.0,4.0
skin,2.0,2.0,4.0
note,0.0,4.0,4.0
stud,4.0,0.0,4.0
pan-fry,4.0,0.0,4.0
secure,1.0,3.0,4.0
frost,2.0,2.0,4.0
cure,3.0,1.0,4.0
work,1.0,3.0,4.0
flatten,2.0,1.0,3.0
laminate,2.0,1.0,3.0
let rise,2.0,1.0,3.0
butcher,1.0,2.0,3.0
set,0.0,3.0,3.0
flake,3.0,0.0,3.0
color,1.0,2.0,3.0
scrape,2.0,1.0,3.0
core,1.0,2.0,3.0
shock,0.0,3.0,3.0
collect,2.0,1.0,3.0
mantecare,3.0,0.0,3.0
shuck,3.0,0.0,3.0
prepare for baking,3.0,0.0,3.0
wilt,2.0,1.0,3.0
crumble,3.0,0.0,3.0
weigh,0.0,3.0,3.0
split,2.0,1.0,3.0
test,1.0,2.0,3.0
stretch,3.0,0.0,3.0
encase,0.0,2.0,2.0
stir in,2.0,0.0,2.0
flambé,0.0,2.0,2.0
enhance,0.0,2.0,2.0
degrease,1.0,1.0,2.0
enrich,1.0,1.0,2.0
string,1.0,1.0,2.0
crisp,2.0,0.0,2.0
finish cooking,1.0,1.0,2.0
scoop,2.0,0.0,2.0
turn,1.0,1.0,2.0
bind,1.0,1.0,2.0
break,1.0,1.0,2.0
proceed,0.0,2.0,2.0
wait,1.0,1.0,2.0
open,2.0,0.0,2.0
use,0.0,2.0,2.0
modify,0.0,2.0,2.0
refer,0.0,2.0,2.0
refrigerate,2.0,0.0,2.0
scald,2.0,0.0,2.0
sterilize,1.0,1.0,2.0
troubleshoot,0.0,2.0,2.0
clarify,0.0,2.0,2.0
top up,2.0,0.0,2.0
turn out,1.0,0.0,1.0
crack,1.0,0.0,1.0
stem,0.0,1.0,1.0
crystallize,0.0,1.0,1.0
close,1.0,0.0,1.0
wheat flour,1.0,0.0,1.0
brew,0.0,1.0,1.0
build sauce,1.0,0.0,1.0
brine,1.0,0.0,1.0
vent,1.0,0.0,1.0
build,1.0,0.0,1.0
strike,1.0,0.0,1.0
continue roasting,1.0,0.0,1.0
continue sautéing,0.0,1.0,1.0
stuff and sear,1.0,0.0,1.0
untie,0.0,1.0,1.0
unwrap,0.0,1.0,1.0
powder,0.0,1.0,1.0
steep,0.0,1.0,1.0
reboil,1.0,0.0,1.0
rework,0.0,1.0,1.0
return,1.0,0.0,1.0
make sauce,0.0,1.0,1.0
reserve,1.0,0.0,1.0
repurpose,0.0,1.0,1.0
manipulate,0.0,1.0,1.0
massage,1.0,0.0,1.0
mature,1.0,0.0,1.0
monitor,1.0,0.0,1.0
defat,0.0,1.0,1.0
pan-roast,0.0,1.0,1.0
prick,0.0,1.0,1.0
pressure cook,1.0,0.0,1.0
pass,0.0,1.0,1.0
peel and slice,1.0,0.0,1.0
prepare variation,0.0,1.0,1.0
prepare variant,1.0,0.0,1.0
pinch,0.0,1.0,1.0
load,0.0,1.0,1.0
level,1.0,0.0,1.0
roll and cut,1.0,0.0,1.0
keep warm,1.0,0.0,1.0
discard,0.0,1.0,1.0
soften,1.0,0.0,1.0
dot,0.0,1.0,1.0
smoke,1.0,0.0,1.0
slake,0.0,1.0,1.0
enclose,0.0,1.0,1.0
prep,1.0,0.0,1.0
finish drying,0.0,1.0,1.0
finish roasting,0.0,1.0,1.0
finish sauce,1.0,0.0,1.0
shake,1.0,0.0,1.0
set aside,1.0,0.0,1.0
gut,0.0,1.0,1.0
hydrate,0.0,1.0,1.0
immerse,1.0,0.0,1.0
incise,0.0,1.0,1.0
juice,0.0,1.0,1.0
absorb,1.0,0.0,1.0
