ingredient,AIC,Artusi,total_usage,artusi_freq,aic_freq,freq_diff
salt,2126.0,488.0,2614.0,61.77215189873417,81.80069257406694,20.02854067533277
olive oil,1657.0,239.0,1896.0,30.253164556962027,63.75529049634475,33.50212593938272
black pepper,1030.0,308.0,1338.0,38.9873417721519,39.630627164293955,0.6432853921420545
butter,746.0,501.0,1247.0,63.41772151898735,28.703347441323583,-34.71437407766376
wheat flour,841.0,266.0,1107.0,33.67088607594937,32.35859946133128,-1.3122866146180883
garlic,939.0,98.0,1037.0,12.40506329113924,36.12928049249711,23.72421720135787
egg,726.0,262.0,988.0,33.164556962025316,27.933820700269337,-5.230736261755979
onion,790.0,127.0,917.0,16.075949367088608,30.396306271642942,14.320356904554334
parsley,682.0,133.0,815.0,16.835443037974684,26.24086186994998,9.405418831975297
sugar,512.0,202.0,714.0,25.569620253164555,19.699884570988843,-5.869735682175712
water,334.0,272.0,606.0,34.43037974683544,12.851096575606002,-21.57928317122944
milk,306.0,142.0,448.0,17.974683544303797,11.77375913813005,-6.200924406173748
white wine,424.0,22.0,446.0,2.7848101265822782,16.313966910350132,13.529156783767853
celery,349.0,76.0,425.0,9.620253164556962,13.428241631396693,3.8079884668397312
parmigiano cheese,235.0,181.0,416.0,22.911392405063292,9.041939207387456,-13.869453197675837
breadcrumb,306.0,100.0,406.0,12.658227848101266,11.77375913813005,-0.8844687099712161
carrot,293.0,75.0,368.0,9.49367088607595,11.273566756444787,1.7798958703688363
egg yolk,158.0,138.0,296.0,17.468354430379744,6.079261254328587,-11.389093176051157
chili pepper,271.0,1.0,272.0,0.12658227848101267,10.42708734128511,10.300505062804097
broth,139.0,130.0,269.0,16.455696202531644,5.348210850327049,-11.107485352204595
potato,211.0,31.0,242.0,3.9240506329113924,8.118507118122356,4.194456485210964
bay leaf,224.0,10.0,234.0,1.2658227848101267,8.618699499807619,7.3528767149974925
tomato,213.0,19.0,232.0,2.4050632911392404,8.19545979222778,5.790396501088539
lemon,157.0,75.0,232.0,9.49367088607595,6.040784917275875,-3.452885968800075
lard,166.0,65.0,231.0,8.227848101265822,6.387071950750288,-1.8407761505155342
nutmeg,160.0,61.0,221.0,7.721518987341772,6.156213928434013,-1.5653050589077582
powdered sugar,85.0,131.0,216.0,16.582278481012658,3.270488649480569,-13.311789831532089
lemon zest,148.0,67.0,215.0,8.481012658227847,5.694497883801462,-2.7865147744263847
sage,156.0,23.0,179.0,2.911392405063291,6.002308580223162,3.090916175159871
tomato sauce,99.0,77.0,176.0,9.746835443037975,3.809157368218546,-5.937678074819429
vinegar,132.0,35.0,167.0,4.430379746835443,5.07887649095806,0.6484967441226175
basil,148.0,17.0,165.0,2.151898734177215,5.694497883801462,3.5425991496242473
rosemary,142.0,17.0,159.0,2.151898734177215,5.463639861485187,3.3117411273079718
ground cinnamon,130.0,17.0,147.0,2.151898734177215,5.001923816852635,2.85002508267542
tomato paste,127.0,20.0,147.0,2.5316455696202533,4.886494805694499,2.3548492360742452
peeled tomato,140.0,0.0,140.0,0.0,5.386687187379762,5.386687187379762
grated parmigiano cheese,116.0,19.0,135.0,2.4050632911392404,4.46325509811466,2.0581918069754193
rice,94.0,38.0,132.0,4.810126582278481,3.616775682954983,-1.193350899323498
brewer's yeast,105.0,12.0,117.0,1.5189873417721518,4.040015390534822,2.5210280487626697
red wine,108.0,9.0,117.0,1.139240506329114,4.155444401692958,3.0162038953638444
prosciutto,15.0,92.0,107.0,11.645569620253164,0.5771450557906888,-11.068424564462475
egg white,70.0,36.0,106.0,4.556962025316456,2.693343593689881,-1.8636184316265751
pecorino cheese,103.0,0.0,103.0,0.0,3.963062716429396,3.963062716429396
caper,83.0,15.0,98.0,1.89873417721519,3.193535975375144,1.294801798159954
lardo,95.0,1.0,96.0,0.12658227848101267,3.6552520200076954,3.5286697415266826
