recipe_id,source,ingredient
1,AIC,hot water
1,AIC,black pepper
1,AIC,salt
1,AIC,lemon juice
1,AIC,parmigiano cheese
1,AIC,egg yolk
1,AIC,garlic
1,AIC,parsley
1,AIC,wheat flour
1,AIC,white wine
1,AIC,olive oil
1,AIC,onion
1,AIC,prosciutto fat
1,AIC,lamb
2,AIC,water
2,AIC,frying oil
2,AIC,wildflower honey
2,AIC,lard
2,AIC,egg
2,AIC,durum wheat semolina
3,AIC,chili pepper
3,AIC,olive oil
3,AIC,white wine vinegar
3,AIC,garlic
3,AIC,parsley
3,AIC,salted anchovy
4,AIC,lemon
4,AIC,olive oil
4,AIC,black pepper
4,AIC,salt
4,AIC,parsley
4,AIC,wheat flour
4,AIC,breadcrumb
4,AIC,egg
4,AIC,salted anchovy
4,AIC,anchovy
5,AIC,water
5,AIC,black pepper
5,AIC,salt
5,AIC,toasted bread
5,AIC,olive oil
5,AIC,pecorino cheese
5,AIC,egg
5,AIC,nepitella
5,AIC,garlic
5,AIC,porcini mushroom
6,AIC,black pepper
6,AIC,sugar
6,AIC,olive oil
6,AIC,parsley
6,AIC,caper
6,AIC,garlic
6,AIC,bell pepper
6,AIC,tomato paste
6,AIC,salted anchovy
7,AIC,black pepper
7,AIC,salt
7,AIC,bread
7,AIC,olive oil
7,AIC,mountain herb
7,AIC,tomato
7,AIC,parsley
7,AIC,celery
7,AIC,onion
8,AIC,black pepper
8,AIC,salt
8,AIC,olive oil
8,AIC,fish broth
8,AIC,parsley
8,AIC,garlic
8,AIC,potato
8,AIC,anchovy
9,AIC,salt
9,AIC,olive oil
9,AIC,white wine vinegar
9,AIC,onion
9,AIC,anchovy
10,AIC,salt
10,AIC,olive oil
10,AIC,lemon
10,AIC,parsley
10,AIC,garlic
10,AIC,white wine vinegar
10,AIC,white wine
10,AIC,anchovy
11,AIC,olive oil
11,AIC,egg white
11,AIC,white wine
11,AIC,wheat flour
11,AIC,large sage leaf
11,AIC,salted anchovy
12,AIC,water
12,AIC,salt
12,AIC,nutmeg
12,AIC,parsley
12,AIC,garlic
12,AIC,grated pecorino cheese
12,AIC,stale bread
12,AIC,grated pecorino cheese
12,AIC,lemon
12,AIC,olive oil
12,AIC,anchovy
13,AIC,black pepper
13,AIC,salt
13,AIC,oregano
13,AIC,olive oil
13,AIC,salted anchovy
13,AIC,breadcrumb
13,AIC,garlic
13,AIC,parsley
13,AIC,tomato
13,AIC,anchovy
14,AIC,black pepper
14,AIC,salt
14,AIC,wine vinegar
14,AIC,white wine
14,AIC,anchovy
14,AIC,rosemary sprig
14,AIC,garlic
14,AIC,olive oil
14,AIC,suckling lamb
15,AIC,olive oil
15,AIC,garlic
15,AIC,salted caper
15,AIC,salted anchovy
16,AIC,black pepper
16,AIC,salt
16,AIC,olive oil
16,AIC,wine
16,AIC,garlic
16,AIC,rosemary sprig
16,AIC,potato
16,AIC,abbacchio lamb
17,AIC,salt
17,AIC,water
17,AIC,olive oil
17,AIC,vinegar
17,AIC,chili pepper
17,AIC,parsley
17,AIC,tomato
17,AIC,sun-dried tomato
17,AIC,garlic
18,AIC,black pepper
18,AIC,salt
18,AIC,lard
18,AIC,"minced parsley, thyme, and rosemary"
18,AIC,garlic
18,AIC,celery
18,AIC,tomato
18,AIC,onion
18,AIC,lamb
19,AIC,salt
19,AIC,olive oil
19,AIC,parsley
19,AIC,onion
19,AIC,garlic
19,AIC,sardinian spiny artichoke
19,AIC,lamb
20,AIC,water
20,AIC,salt
20,AIC,chili pepper
20,AIC,peanut oil
20,AIC,olive oil
20,AIC,vinegar
20,AIC,tomato paste
20,AIC,garlic
21,AIC,olive oil
21,AIC,white wine vinegar
21,AIC,basil
21,AIC,parsley
21,AIC,breadcrumb
21,AIC,almond
21,AIC,garlic
22,AIC,salt
22,AIC,garlic
22,AIC,bay leaf
22,AIC,olive oil
22,AIC,parsley
22,AIC,onion
22,AIC,tomato paste
22,AIC,olive
22,AIC,cauliflower
22,AIC,lamb
23,AIC,salt
23,AIC,olive oil
23,AIC,white wine vinegar
23,AIC,garlic
24,AIC,olive oil
24,AIC,wheat flour
24,AIC,dogfish
25,AIC,black pepper
25,AIC,salt
25,AIC,vinegar
25,AIC,olive oil
25,AIC,garlic
25,AIC,tomato
26,AIC,black pepper
26,AIC,salt
26,AIC,olive oil
26,AIC,celery leaf
26,AIC,basil
26,AIC,grated pecorino cheese
26,AIC,egg
26,AIC,peeled tomato
26,AIC,onion
26,AIC,stale bread
27,AIC,salt
27,AIC,bread
27,AIC,olive oil
27,AIC,cherry tomato
27,AIC,onion
27,AIC,lard
27,AIC,marjoram
27,AIC,chili pepper
27,AIC,garlic
27,AIC,sausage
27,AIC,pork rind
27,AIC,potato
27,AIC,artichoke
27,AIC,zucchini
27,AIC,chard
27,AIC,wild chicory
28,AIC,olive oil
28,AIC,chili pepper
28,AIC,celery
28,AIC,basil
28,AIC,oregano
28,AIC,salted anchovy
28,AIC,garlic
28,AIC,onion
28,AIC,tomato
28,AIC,stale black bread
29,AIC,stale bread
29,AIC,salt
29,AIC,dried chili pepper
29,AIC,parsley
29,AIC,garlic
29,AIC,olive oil
29,AIC,peeled tomato
29,AIC,onion
30,AIC,butter
30,AIC,marsala
30,AIC,vanilla
30,AIC,powdered sugar
30,AIC,egg yolk
31,AIC,black pepper
31,AIC,salt
31,AIC,olive oil
31,AIC,marsala wine
31,AIC,white onion
31,AIC,veal eye of round
32,AIC,water
32,AIC,lemon
32,AIC,alcohol
32,AIC,milk
32,AIC,vanilla
32,AIC,baking powder
32,AIC,butter
32,AIC,egg
32,AIC,powdered sugar
32,AIC,sugar
32,AIC,wheat flour
33,AIC,salt
33,AIC,lemon
33,AIC,chili pepper
33,AIC,breadcrumb
33,AIC,olive oil
33,AIC,garlic
33,AIC,yellow potato
33,AIC,suckling lamb
34,AIC,parsley
34,AIC,parmigiano or pecorino cheese
34,AIC,egg
34,AIC,black pepper
34,AIC,salt
34,AIC,rosemary sprig
34,AIC,garlic
34,AIC,white wine
34,AIC,olive oil
34,AIC,muscari (lampascioni)
34,AIC,lamb
35,AIC,black pepper
35,AIC,salt
35,AIC,nutmeg
35,AIC,wheat flour
35,AIC,egg
35,AIC,white wine
35,AIC,onion
35,AIC,olive oil
35,AIC,lemon
35,AIC,rosemary
35,AIC,pecorino abruzzese
35,AIC,lamb
36,AIC,salt
36,AIC,olive oil
36,AIC,white wine
36,AIC,candied olives with fennel and bay leaf
36,AIC,bay leaf
36,AIC,sun-dried tomato
36,AIC,chili pepper
36,AIC,garlic
36,AIC,onion
36,AIC,lamb
37,AIC,salt
37,AIC,white wine
37,AIC,olive oil
37,AIC,chili pepper
37,AIC,garlic
37,AIC,cardoncelli mushroom
37,AIC,lamb
38,AIC,black pepper
38,AIC,salt
38,AIC,parsley
38,AIC,olive oil
38,AIC,white wine
38,AIC,pecorino cheese
38,AIC,egg
38,AIC,onion
38,AIC,pea
38,AIC,lamb
39,AIC,salt
39,AIC,olive oil
39,AIC,vernaccia di oristano
39,AIC,saffron
39,AIC,lemon
39,AIC,onion
39,AIC,wild fennel
39,AIC,suckling lamb
40,AIC,black pepper
40,AIC,salt
40,AIC,olive oil
40,AIC,sage
40,AIC,rosemary
40,AIC,garlic
40,AIC,lardo
40,AIC,potato
40,AIC,lamb leg
41,AIC,salt
41,AIC,olive oil
41,AIC,meat broth
41,AIC,vernaccia wine
41,AIC,parsley
41,AIC,bay leaf
41,AIC,onion
41,AIC,garlic
41,AIC,lemon
41,AIC,egg yolk
41,AIC,lamb
42,AIC,water
42,AIC,rosemary
42,AIC,vinegar
42,AIC,salt
42,AIC,parsley
42,AIC,parmigiano cheese
42,AIC,egg
42,AIC,lemon juice
