recipe_id,source,name,original_name,original_title,category,region,city,servings,step_count,ingredient_count,tool_count
1,AIC,Roman-style brothy lamb (Abbacchio brodettato alla romana),abbacchio brodettato alla romana,abbacchio brodettato alla romana,"Meat, poultry and game",Lazio,,4.0,11,14,6
2,AIC,Acciuleddi or tricciulini,acciuleddi o tricciulini,acciuleddi o tricciulini,Desserts and liqueurs,Sardegna,,8.0,5,6,4
3,AIC,Anchovies in Green Sauce (Acciughe al Verde),acciughe al verde,acciughe al verde,Appetizers,Piemonte,,4.0,6,6,3
4,AIC,Ortona-style Anchovies,acciughe all’ortonese,acciughe all’ortonese,Appetizers,Abruzzo,,4.0,7,10,7
5,AIC,Casentino-style Acquacotta,acquacotta casentinese,acquacotta casentinese,Soups and broths,Toscana,,4.0,8,10,5
6,AIC,Anchovies in red sauce,acciughe in salsa rossa,acciughe in salsa rossa,Appetizers,Piemonte,,4.0,4,9,2
7,AIC,Marche-style Acquacotta,acquacotta marchigiana,acquacotta marchigiana,Soups and broths,Marche,,4.0,4,9,2
8,AIC,Anchovies and potatoes,acciughe e patate,acciughe e patate,Fish and seafood,Liguria,,4.0,5,8,3
9,AIC,Poor man's anchovies,acciughe alla povera,acciughe alla povera,Appetizers,Toscana,Livorno,4.0,5,5,3
10,AIC,marinated anchovies,acciughe marinate,acciughe marinate,Appetizers,Liguria,,4.0,6,8,1
11,AIC,Fried Sage with Anchovies,acciughini o salvia fritta,acciughini o salvia fritta,Appetizers,Toscana,Piombino,8.0,6,6,5
12,AIC,Anchovies with breadcrumbs,acciughe mollicate,acciughe mollicate,Fish and seafood,Abruzzo,,4.0,4,10,2
13,AIC,Baked anchovies,acciughe al forno,acciughe al forno,Fish and seafood,Liguria,,4.0,7,10,3
14,AIC,Hunter-style suckling lamb (Abbacchio alla Cacciatora),abbacchio alla cacciatora,abbacchio alla cacciatora,"Meat, poultry and game",Lazio,Roma,6.0,9,9,4
15,AIC,Acciugata (Anchovy Sauce),acciugata,acciugata,Sauces,Toscana,Firenze,4.0,5,4,2
16,AIC,Baked abbacchio lamb with potatoes,abbacchio al forno con patate,abbacchio al forno con patate,"Meat, poultry and game",Lazio,Roma,6.0,5,8,4
17,AIC,Agliata Algherese,agliata algherese,agliata algherese,Sauces,Sardegna,,6.0,6,9,4
