region,ingredient,usage_count
Abruzzo,olive oil,195
Abruzzo,salt,167
Abruzzo,wheat flour,85
Abruzzo,garlic,80
Abruzzo,egg,75
Abruzzo,parsley,71
Abruzzo,black pepper,63
Abruzzo,onion,62
Abruzzo,white wine,50
Abruzzo,chili pepper,45
Abruzzo,sugar,34
Abruzzo,water,28
Abruzzo,celery,28
Abruzzo,butter,25
Abruzzo,breadcrumb,21
Abruzzo,carrot,18
Abruzzo,tomato passata,17
Abruzzo,pecorino cheese,17
Abruzzo,grated pecorino cheese,15
Abruzzo,milk,15
Abruzzo,ground cinnamon,15
Abruzzo,lemon,15
Abruzzo,egg yolk,14
Abruzzo,peeled tomato,14
Abruzzo,bay leaf,14
Abruzzo,tomato,13
Abruzzo,sweet pecorino cheese,12
Abruzzo,almond,12
Abruzzo,potato,12
Abruzzo,bell pepper,12
Abruzzo,l'aquila saffron,11
Abruzzo,saffron thread,11
Abruzzo,lemon zest,11
Abruzzo,rosemary,10
Abruzzo,egg white,10
Abruzzo,tomato sauce,9
Abruzzo,nutmeg,8
Abruzzo,red garlic,8
Abruzzo,ricotta,8
Abruzzo,mussel,8
Abruzzo,lemon juice,8
Abruzzo,marjoram,7
Abruzzo,baking powder,7
Abruzzo,scamorza,7
Abruzzo,artichoke,7
Abruzzo,dark chocolate,7
Abruzzo,black truffle,7
Abruzzo,basil,7
Abruzzo,fish broth,6
Abruzzo,mozzarella,6
Abruzzo,brewer's yeast,6
Abruzzo,lamb,6
Abruzzo,lard,6
Abruzzo,cuttlefish,6
Abruzzo,powdered sugar,6
Abruzzo,lardo,5
Abruzzo,olaci,5
Abruzzo,cherry tomato,5
Abruzzo,saffron,5
Abruzzo,vegetable broth,5
Abruzzo,mantis shrimp,5
Abruzzo,candied citron,5
Abruzzo,chocolate,5
Abruzzo,salted anchovy,5
Abruzzo,clam,5
Abruzzo,scallion,5
Abruzzo,guanciale,5
Abruzzo,sausage,5
Abruzzo,cheese,5
Abruzzo,stale bread,5
Abruzzo,prosciutto crudo,4
Abruzzo,sage,4
Abruzzo,orange zest,4
Abruzzo,polenta flour,4
Abruzzo,vinegar,4
Abruzzo,pancetta,4
Abruzzo,spaghetti,4
Abruzzo,cardoon,4
Abruzzo,white wine vinegar,4
Abruzzo,scampi,4
Abruzzo,thyme,4
Abruzzo,warm water,4
Abruzzo,monkfish,4
Abruzzo,sheep's milk ricotta,4
Abruzzo,pork,4
Abruzzo,walnut,4
Abruzzo,chicken,4
Abruzzo,pecorino abruzzese,4
Abruzzo,raisin,4
Abruzzo,wine vinegar,4
Abruzzo,anchovy,4
Abruzzo,meat broth,3
Abruzzo,cocoa powder,3
Abruzzo,red mullet,3
Abruzzo,squid,3
Abruzzo,zucchini,3
Abruzzo,honey,3
Abruzzo,sweet pepper,3
Abruzzo,vanilla,3
Abruzzo,vanillin,3
Abruzzo,mixed meat,3
Abruzzo,parmigiano cheese,3
Abruzzo,hot water,3
Abruzzo,black olive,3
Abruzzo,aromatic bouquet,3
Abruzzo,soaked salted cod,3
Abruzzo,cabbage,3
Abruzzo,chicory,3
Abruzzo,cannarozzetti pasta,3
Abruzzo,bread,3
Abruzzo,chestnut,3
Abruzzo,beef,3
Abruzzo,linguine,3
Abruzzo,rabbit,3
Abruzzo,salted cod,3
Abruzzo,pine nut,3
Abruzzo,herbs,2
Abruzzo,mutton leg,2
Abruzzo,shrimp,2
Abruzzo,salsiccia,2
Abruzzo,salame aquilano,2
Abruzzo,caciocavallo,2
Abruzzo,ground beef,2
Abruzzo,cinnamon sachet,2
Abruzzo,egg tagliatelle,2
Abruzzo,chickpea,2
