region,recipe_count,avg_servings,total_steps,total_ingredients,avg_steps_per_recipe,avg_ingredients_per_recipe
Sardegna,242,5.4017653325216735,1494,389,6.1735537190082646,1.6074380165289257
Emilia Romagna,241,4.374043605821763,1614,433,6.6970954356846475,1.7966804979253113
Abruzzo,217,6.071263819295292,1321,372,6.087557603686636,1.7142857142857142
Piemonte,168,6.243495663775842,1105,373,6.5773809523809526,2.2202380952380953
Campania,166,5.8142393716919845,1105,360,6.656626506024097,2.1686746987951806
Friuli Venezia Giulia,164,4.96659850034087,1046,306,6.378048780487805,1.8658536585365855
Lombardia,151,5.233681893230577,950,319,6.291390728476821,2.1125827814569536
Toscana,150,4.955756157360988,903,297,6.02,1.98
Calabria,145,4.963237049415124,911,308,6.2827586206896555,2.1241379310344826
Molise,125,6.6997308727412594,819,274,6.552,2.192
Sicilia,124,5.757413771159471,817,229,6.588709677419355,1.846774193548387
Veneto,121,4.728680234735948,788,303,6.512396694214876,2.5041322314049586
Lazio,98,4.089870810709617,577,214,5.887755102040816,2.183673469387755
Liguria,94,4.865623889086385,572,220,6.085106382978723,2.3404255319148937
Marche,93,4.572655821604841,575,193,6.182795698924731,2.075268817204301
Puglia,88,5.128872366790578,546,200,6.204545454545454,2.272727272727273
Trentino Alto Adige,80,5.313819933308632,517,174,6.4625,2.175
Umbria,59,4.934872705743033,358,166,6.067796610169491,2.8135593220338984
Valle d'Aosta,43,4.276729559748418,228,124,5.3023255813953485,2.883720930232558
Basilicata,30,5.037086092715238,176,94,5.866666666666666,3.1333333333333333
